LocationType,Location,TimeFrame,Data
County,Miller,2023,291
County,Miller,2024,283
County,Mitchell,2021,1437
County,Mitchell,2022,1327
County,Mitchell,2023,1361
County,Mitchell,2024,1318
County,Monroe,2021,920
County,Monroe,2022,860
County,Monroe,2023,886
County,Monroe,2024,859
County,Montgomery,2021,418
County,Montgomery,2022,402
County,Montgomery,2023,425
County,Montgomery,2024,423
County,Morgan,2021,700
County,Morgan,2022,630
County,Morgan,2023,640
County,Morgan,2024,642
County,Murray,2021,1929
County,Murray,2022,1795
County,Murray,2023,1833
County,Murray,2024,1740
County,Muscogee,2021,11802
County,Muscogee,2022,11117
County,Muscogee,2023,11196
County,Muscogee,2024,10861
County,Newton,2021,6828
County,Newton,2022,6279
County,Newton,2023,6415
County,Newton,2024,6430
County,Oconee,2021,456
County,Oconee,2022,404
County,Oconee,2023,419
County,Oconee,2024,395
County,Oglethorpe,2021,562
County,Oglethorpe,2022,526
County,Oglethorpe,2023,542
County,Oglethorpe,2024,518
County,Paulding,2021,5829
County,Paulding,2022,5444
County,Paulding,2023,5584
County,Paulding,2024,5415
County,Peach,2021,1424
County,Peach,2022,1309
County,Peach,2023,1332
County,Peach,2024,1330
County,Pickens,2021,964
County,Pickens,2022,836
County,Pickens,2023,862
County,Pickens,2024,841
County,Pierce,2021,961
County,Pierce,2022,914
County,Pierce,2023,964
County,Pierce,2024,944
County,Pike,2021,577
County,Pike,2022,517
County,Pike,2023,510
County,Pike,2024,494
County,Polk,2021,2326
County,Polk,2022,2154
County,Polk,2023,2171
County,Polk,2024,2049
County,Pulaski,2021,463
County,Pulaski,2022,448
County,Pulaski,2023,464
County,Pulaski,2024,475
County,Putnam,2021,1040
County,Putnam,2022,898
County,Putnam,2023,887
County,Putnam,2024,875
County,Quitman,2021,136
County,Quitman,2022,126
County,Quitman,2023,145
County,Quitman,2024,142
County,Rabun,2021,465
County,Rabun,2022,400
County,Rabun,2023,414
County,Rabun,2024,400
County,Randolph,2021,455
County,Randolph,2022,447
County,Randolph,2023,430
County,Randolph,2024,420
County,Richmond,2021,13108
County,Richmond,2022,12379
County,Richmond,2023,12509
County,Richmond,2024,12092
County,Rockdale,2021,5304
County,Rockdale,2022,4799
County,Rockdale,2023,4933
County,Rockdale,2024,4793
County,Schley,2021,234
County,Schley,2022,208
County,Schley,2023,203
County,Schley,2024,197
County,Screven,2021,863
County,Screven,2022,813
County,Screven,2023,832
County,Screven,2024,793
County,Seminole,2021,564
County,Seminole,2022,524
County,Seminole,2023,525
County,Seminole,2024,512
County,Spalding,2021,4126
County,Spalding,2022,3856
County,Spalding,2023,3833
County,Spalding,2024,3828
County,Stephens,2021,1330
County,Stephens,2022,1240
County,Stephens,2023,1232
County,Stephens,2024,1157
County,Stewart,2021,249
County,Stewart,2022,239
County,Stewart,2023,236
County,Stewart,2024,200
County,Sumter,2021,2165
County,Sumter,2022,2031
County,Sumter,2023,2097
County,Sumter,2024,2034
County,Talbot,2021,327
County,Talbot,2022,282
County,Talbot,2023,278
County,Talbot,2024,283
County,Taliaferro,2021,73
County,Taliaferro,2022,70
County,Taliaferro,2023,72
County,Taliaferro,2024,70
County,Tattnall,2021,1167
County,Tattnall,2022,1059
County,Tattnall,2023,1073
County,Tattnall,2024,1122
County,Taylor,2021,443
County,Taylor,2022,422
County,Taylor,2023,421
County,Taylor,2024,394
County,Telfair,2021,714
County,Telfair,2022,666
County,Telfair,2023,684
County,Telfair,2024,658
County,Terrell,2021,622
County,Terrell,2022,570
County,Terrell,2023,580
County,Terrell,2024,580
County,Thomas,2021,2397
County,Thomas,2022,2147
County,Thomas,2023,2160
County,Thomas,2024,2179
County,Tift,2021,2501
County,Tift,2022,2336
County,Tift,2023,2409
County,Tift,2024,2377
County,Toombs,2021,1844
County,Toombs,2022,1744
County,Toombs,2023,1792
County,Toombs,2024,1734
County,Towns,2021,255
County,Towns,2022,234
County,Towns,2023,249
County,Towns,2024,224
County,Treutlen,2021,393
County,Treutlen,2022,368
County,Treutlen,2023,385
County,Treutlen,2024,380
County,Troup,2021,4333
County,Troup,2022,3998
County,Troup,2023,3996
County,Troup,2024,4006
County,Turner,2021,573
County,Turner,2022,548
County,Turner,2023,559
County,Turner,2024,589
County,Twiggs,2021,396
County,Twiggs,2022,359
County,Twiggs,2023,371
County,Twiggs,2024,368
County,Union,2021,584
County,Union,2022,491
County,Union,2023,490
County,Union,2024,503
County,Upson,2021,1617
County,Upson,2022,1540
County,Upson,2023,1542
County,Upson,2024,1497
County,Walker,2021,2790
County,Walker,2022,2504
County,Walker,2023,2586
County,Walker,2024,2629
County,Walton,2021,3621
County,Walton,2022,3352
County,Walton,2023,3452
County,Walton,2024,3438
County,Ware,2021,2375
County,Ware,2022,2223
County,Ware,2023,2296
County,Ware,2024,2260
County,Warren,2021,341
County,Warren,2022,311
County,Warren,2023,303
County,Warren,2024,336
County,Washington,2021,1176
County,Washington,2022,1103
County,Washington,2023,1077
County,Washington,2024,996
County,Wayne,2021,1720
County,Wayne,2022,1645
County,Wayne,2023,1685
County,Wayne,2024,1719
County,Webster,2021,118
County,Webster,2022,122
County,Webster,2023,120
County,Webster,2024,125
County,Wheeler,2021,315
County,Wheeler,2022,281
County,Wheeler,2023,294
County,Wheeler,2024,289
County,White,2021,908
County,White,2022,784
County,White,2023,789
County,White,2024,776
County,Whitfield,2021,3934
County,Whitfield,2022,3622
County,Whitfield,2023,3812
County,Whitfield,2024,3762
County,Wilcox,2021,420
County,Wilcox,2022,404
County,Wilcox,2023,417
County,Wilcox,2024,393
County,Wilkes,2021,497
County,Wilkes,2022,471
County,Wilkes,2023,476
County,Wilkes,2024,442
County,Wilkinson,2021,502
County,Wilkinson,2022,482
County,Wilkinson,2023,471
County,Wilkinson,2024,457
County,Worth,2021,1130
County,Worth,2022,1061
County,Worth,2023,1086
County,Worth,2024,1025
Other,Region 1,2021,36233
Other,Region 1,2022,33085
Other,Region 1,2023,33787
Other,Region 1,2024,32808
Other,Region 2,2021,17826
Other,Region 2,2022,16191
Other,Region 2,2023,16571
Other,Region 2,2024,16320
Other,Region 3,2021,182067
Other,Region 3,2022,170318
Other,Region 3,2023,174974
Other,Region 3,2024,169448
Other,Region 4,2021,24691
Other,Region 4,2022,22765
Other,Region 4,2023,22950
Other,Region 4,2024,22691
Other,Region 5,2021,25311
Other,Region 5,2022,23374
Other,Region 5,2023,23958
Other,Region 5,2024,23581
Other,Region 6,2021,25838
Other,Region 6,2022,24292
Other,Region 6,2023,24568
Other,Region 6,2024,24088
Other,Region 7,2021,24589
Other,Region 7,2022,23062
Other,Region 7,2023,23231
Other,Region 7,2024,22552
Other,Region 8,2021,20289
Other,Region 8,2022,19087
Other,Region 8,2023,19293
Other,Region 8,2024,18773
Other,Region 9,2021,17379
Other,Region 9,2022,16236
Other,Region 9,2023,16537
Other,Region 9,2024,16327
Other,Region 10,2021,22256
Other,Region 10,2022,20750
Other,Region 10,2023,21131
Other,Region 10,2024,20818
Other,Region 11,2021,24142
Other,Region 11,2022,22764
Other,Region 11,2023,23440
Other,Region 11,2024,22912
Other,Region 12,2021,30089
Other,Region 12,2022,28242
Other,Region 12,2023,28609
Other,Region 12,2024,26834
